"PathwayID","PathwaySize","SignificantGenesInPathway","SignificantGenesTotal","GeneRatio","BackgroundRatio","P.Value","Genes","adj.P.Val","PathwayName"
"hsa00030",30,1,37,0.027027027027027,0.0039546533087266,0.136673181523569,"8277",0.656407273041092,"Pentose phosphate pathway"
"hsa04921",142,2,37,0.0540540540540541,0.0187186923279726,0.151929193748791,"3760/55799",0.656407273041092,"Oxytocin signaling pathway"
"hsa04010",282,3,37,0.0810810810810811,0.0371737411020301,0.157313278755686,"55799/8817/5979",0.656407273041092,"MAPK signaling pathway"
"hsa00140",42,1,37,0.027027027027027,0.00553651463221724,0.186094144689272,"412",0.656407273041092,"Steroid hormone biosynthesis"
"hsa00830",43,1,37,0.027027027027027,0.0056683364091748,0.190085994721946,"8228",0.656407273041092,"Retinol metabolism"
"hsa05202",175,2,37,0.0540540540540541,0.0230688109675718,0.20977357838783,"7403/8842",0.656407273041092,"Transcriptional misregulation in cancer"
"hsa04151",326,3,37,0.0810810810810811,0.0429738992881624,0.211380612692337,"8817/5979/131873",0.656407273041092,"PI3K-Akt signaling pathway"
"hsa03010",186,2,37,0.0540540540540541,0.0245188505141049,0.229599971141734,"6192/6191",0.656407273041092,"Ribosome"
"hsa04814",189,2,37,0.0540540540540541,0.0249143158449776,0.235034917843541,"4635/7170",0.656407273041092,"Motor proteins"
"hsa04622",56,1,37,0.027027027027027,0.00738201950962299,0.240278131564825,"1654",0.656407273041092,"RIG-I-like receptor signaling pathway"
"hsa04929",61,1,37,0.027027027027027,0.00804112839441076,0.258765609862296,"3760",0.656407273041092,"GnRH secretion"
"hsa05171",209,2,37,0.0540540540540541,0.0275507513841287,0.271438012521959,"6192/6191",0.656407273041092,"Coronavirus disease - COVID-19"
"hsa05218",67,1,37,0.027027027027027,0.00883205905615608,0.280373298056194,"8817",0.656407273041092,"Melanoma"
"hsa04721",69,1,37,0.027027027027027,0.00909570261007118,0.287438715829949,"594855",0.656407273041092,"Synaptic vesicle cycle"
"hsa05230",69,1,37,0.027027027027027,0.00909570261007118,0.287438715829949,"5979",0.656407273041092,"Central carbon metabolism in cancer"
"hsa04810",219,2,37,0.0540540540540541,0.0288689691537042,0.289673697150392,"9087/8817",0.656407273041092,"Regulation of actin cytoskeleton"
"hsa01230",71,1,37,0.027027027027027,0.00935934616398629,0.294436621050784,"8277",0.656407273041092,"Biosynthesis of amino acids"
"hsa05223",72,1,37,0.027027027027027,0.00949116794094384,0.297910452723588,"5979",0.656407273041092,"Non-small cell lung cancer"
"hsa04020",232,2,37,0.0540540540540541,0.0305826522541524,0.313324283375339,"8817/5979",0.656407273041092,"Calcium signaling pathway"
