"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"105374661",0.216951927676922,0.853552037754952,3.7751243205856,0.000222777722040807,0.0406020242705358,-0.115697290696533
"23547",0.228528483807881,0.509010052637834,3.76694501623394,0.000229599974703764,0.0415527786386952,-0.143972848591783
"8817",0.188838268846843,2.50548814811016,3.76034495631775,0.000235248760275023,0.0422794299716499,-0.166751453576909
"5979",0.186367967723755,1.60745041400445,3.74159166041327,0.000252025938753752,0.0449822847927386,-0.231290821082181
"105369685",0.165309533682316,2.17849303705921,3.73657411919671,0.000256703186299431,0.0455032771330771,-0.2485126011236
"7170",-0.148159243487087,3.72698727270525,-3.731514002354,0.000261503225953317,0.0460387992358629,-0.265860795217207
"3542",0.342878652018773,0.500364549679712,3.72731045167923,0.000265555170487326,0.0464362690014325,-0.280257255263001
"121551",0.151923513067868,1.54729389581274,3.72544150645792,0.000267375719280714,0.046440829630771,-0.286653687364956
"131873",0.216769340471079,2.33722655395394,3.7227493446477,0.000270018929631128,0.0465872659923573,-0.295862808216286
"6456",0.175387732005064,2.36841712178777,3.71801414240723,0.0002747280972089,0.0470858487136844,-0.312046963665511
"28894",0.149539884658323,0.097739941589917,3.66671617926651,0.000330976280526258,0.056353066710655,-0.486258527181775
"79783",0.101328646477578,2.15188604559771,3.66447666278964,0.000333664153287555,0.0564394005691628,-0.493817389969484
"105379048",0.174188830239302,0.685561048938883,3.6501943777873,0.000351296653573768,0.059036086977202,-0.541931080024354
"54082",0.194123482140718,1.16149736882999,3.64538091896725,0.00035743478287991,0.0593853473454071,-0.558110562107132
"79762",0.103391825016954,2.84010644279481,3.64496939651276,0.000357964226657013,0.0593853473454071,-0.559492971347408
"55240",0.108317738764508,2.22652098420393,3.63801957104162,0.000367018061125485,0.0604995377192838,-0.582819182494916
"911",0.193658607498471,1.78820603111189,3.62790715194724,0.000380578560736679,0.0623031407786181,-0.616692631512467
"8074",0.307534366161344,0.735434217833661,3.62630177259079,0.000382774319312221,0.0623031407786181,-0.622062774411537
"105373504",-0.181845909588797,0.443474569651932,-3.62409678758951,0.00038580966920314,0.0624047139936079,-0.629435356992841
"27247",0.0983623493487767,3.31113198288704,3.61609703563488,0.000397013648490713,0.0638180945524202,-0.656151258631755
"105373581",0.109148533212012,1.90316191580773,3.61187749082278,0.000403046170823303,0.0643878697586857,-0.670222558566894
"55816",0.140507779698423,2.62117055051156,3.60407447342867,0.000414430144873124,0.0658003199344567,-0.696207104838637
"94235",-0.197155107089601,1.37635454314291,-3.60021326575553,0.000420174768595825,0.0663056281174387,-0.709047452483479
"100996492",0.208473723341598,2.43180384520146,3.59434326936975,0.000429051959313533,0.0672961497396014,-0.728545483603336
"25907",0.173113202060779,0.977391820539389,3.58426358648661,0.000444708987824362,0.0693317385837017,-0.761963232093645
"285972",0.212574471753234,0.748091598960427,3.56735550224047,0.000472187258939632,0.0731748877925609,-0.817839485799238
"105375825",0.201745555794051,0.656810596514836,3.5533945038367,0.000496072704397155,0.076418818986895,-0.863806106469425
"100505678",0.113250479829416,2.59099611343911,3.54442571798506,0.000512012004888313,0.0781514950965266,-0.893254412708246
"152015",0.1269391840902,1.65168331229871,3.54207892039446,0.000516261554186272,0.0781514950965266,-0.90094941103828
"440173",0.216835086972469,0.65755624110813,3.5420139554573,0.000516379662345674,0.0781514950965266,-0.90116236474235
"102724734",0.168989824225095,1.00742568466547,3.53527528025517,0.000528769753642626,0.0795614024666929,-0.923233408905126
"414235",0.127681032422017,1.48115983147589,3.53050772545765,0.000537703909279144,0.0804380183360939,-0.938826705433552
"5774",0.120453660724063,3.5094818183366,3.52118829601705,0.000555579409632077,0.0826344547199894,-0.96925570681965
"51481",0.174226006418115,0.404461522728553,3.51715812557814,0.000563481357215822,0.0830012504821512,-0.98239327966221
"100133669",0.166219207314148,0.548212430197597,3.51666278945605,0.00056445981780752,0.0830012504821512,-0.984007087303064
"105370495",0.16292458136269,0.369259204900335,3.48210203390669,0.000636810708559378,0.0926169509042407,-1.09612335349051
"4058",0.204146800268572,1.4820722680221,3.48034080314231,0.000640721410326049,0.0926169509042407,-1.10181131147744
"92703",0.0839572337422117,2.93052746703925,3.47756201822388,0.000646937394079585,0.0926169509042407,-1.11078045324333
"105372803",0.153428807555102,0.581726352760337,3.47720392201825,0.000647742539068781,0.0926169509042407,-1.11193583859917
"2668",-0.192994687165089,1.06727017179591,-3.47720235557787,0.000647746063124713,0.0926169509042407,-1.111940892441
"728554",0.104309953877406,2.26039654392812,3.47459353806523,0.000653640212524984,0.0929462016491571,-1.12035505511462
"3764",0.0964469275740698,3.40658816861204,3.46482467885351,0.00067616123964148,0.0956232397919208,-1.151813954728
"8260",0.141778266865215,3.03638446114856,3.46199401363613,0.000682821813155344,0.0960403724155451,-1.16091533389061
"38",0.101579549535602,4.20452915972318,3.45550697870892,0.000698318679655732,0.0976891212404883,-1.18174873828373
"9214",0.126739740408574,1.90047175614151,3.4524783272642,0.000705666210039883,0.0981862447087751,-1.19146383248961
"105377546",0.28371968192975,1.26309442520631,3.4504819854096,0.000710548921938123,0.098336931014752,-1.19786353250656
"2894",0.138191738609963,1.75806552462749,3.44541804110051,0.00072307692726287,0.0995384621146973,-1.21408273805224
"2348",0.200328619867824,0.59936962428097,3.44354756406118,0.000727756560308986,0.099652591432786,-1.22006844383128
"5309",0.247068799112196,0.766293899099245,3.43703820067209,0.00074426418109579,0.100957452732352,-1.24087711814544
"91133",0.13845224359423,1.76936825681294,3.43671696472104,0.000745087846672302,0.100957452732352,-1.24190314083643
"54504",0.0960302116711276,3.58479489767483,3.4198868270586,0.000789455668463741,0.106412045311675,-1.29554222857228
"644145",0.152324322374374,0.152690308935382,3.40484982725278,0.000831177851845266,0.111455351325158,-1.34327342447245
"653113",0.149632313723824,1.22227201398591,3.39226368886626,0.000867677449081869,0.11574996073319,-1.38308468265839
"5860",0.0967561852225564,3.20809566313616,3.38990465015733,0.00087468336957219,0.116086182587324,-1.39053232217802
"284578",0.161645974109739,0.941287630768867,3.38404938816963,0.000892301804599691,0.11782025868898,-1.40899831894369
"105370315",-0.208722726642775,0.461526977372536,-3.37899981023768,0.000907761956034474,0.11863807545562,-1.42490111660088
"9127",-0.16241727826334,2.0844167536075,-3.37885233794542,0.000908217210396777,0.11863807545562,-1.42536524560308
"8536",0.106491543402019,2.54095808144123,3.37641283757056,0.000915779117731924,0.11863807545562,-1.43304035553475
"57604",0.107068617645295,2.75770163123534,3.37607463238343,0.000916832113258265,0.11863807545562,-1.43410402988937
