"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"1959",0.106877606871375,1.63679920095594,1.66101121398843,0.0986123154343061,0.505105154162192,-5.76398123517733,1.00606884376907,1.00606884376907,"Not Significant","grey80"
"219670",-0.0744674384209325,0.372452677785276,-1.66099733227871,0.0986151078705742,0.505105154162192,-5.76400390545739,1.00605654588836,1.00605654588836,"Not Significant","grey80"
"23583",-0.0509357028962847,2.60891936874549,-1.66095378246261,0.0986238687385049,0.505105154162192,-5.7640750256612,1.00601796531299,1.00601796531299,"Not Significant","grey80"
"5046",-0.0522978363518892,2.94492884712715,-1.66092937688843,0.0986287786548205,0.505105154162192,-5.76411488105522,1.0059963448218,1.0059963448218,"Not Significant","grey80"
"94027",-0.0780355741925192,0.352917126466113,-1.66090579397388,0.0986335232554698,0.505105154162192,-5.76415339247134,1.00597545330972,1.00597545330972,"Not Significant","grey80"
"2108",-0.044327535547414,4.03914799477093,-1.66087393920263,0.0986399323468206,0.505105154162192,-5.76420541117128,1.00594723427742,1.00594723427742,"Not Significant","grey80"
"105370259",0.0592770231353395,0.199263019186036,1.6603864887652,0.0987380478769718,0.505312152677615,-5.76500129525026,1.00551546334942,1.00551546334942,"Not Significant","grey80"
"153218",0.0798257919277418,0.943071141117622,1.66037485738057,0.0987403900381011,0.505312152677615,-5.7650202836194,1.00550516159025,1.00550516159025,"Not Significant","grey80"
"255374",-0.0936588058002534,1.38580228959468,-1.6603281071823,0.0987498043728656,0.505312152677615,-5.76509660255823,1.00546375605461,1.00546375605461,"Not Significant","grey80"
"105378642",0.0757536282343207,0.72136287640589,1.66026081507454,0.0987633566101544,0.505312152677615,-5.76520645218261,1.00540415838677,1.00540415838677,"Not Significant","grey80"
"94",-0.0591381491362219,3.07993445288556,-1.6601882014976,0.0987779822409603,0.505312152677615,-5.7653249839016,1.00533984951044,1.00533984951044,"Not Significant","grey80"
"102723348",-0.0920151329486828,0.599801064496236,-1.65994409450542,0.0988271624054449,0.505463826690299,-5.76572341838268,1.00512367422276,1.00512367422276,"Not Significant","grey80"
"5310",-0.0925085647258303,2.96939515931287,-1.65977390972619,0.0988614611514176,0.505523847830863,-5.76600116259017,1.00497297504752,1.00497297504752,"Not Significant","grey80"
"23313",-0.0550918089544212,2.7673660274927,-1.65969204043058,0.0988779643632081,0.505523847830863,-5.76613476474536,1.00490048314246,1.00490048314246,"Not Significant","grey80"
"374872",-0.0883761611807941,0.847667119882041,-1.65930325467187,0.0989563660870045,0.505608688205989,-5.7667691355892,1.00455626141187,1.00455626141187,"Not Significant","grey80"
"388753",-0.0532684088361122,2.79144135640624,-1.65930192425621,0.0989566344617885,0.505608688205989,-5.76677130614448,1.00455508358436,1.00455508358436,"Not Significant","grey80"
"54681",-0.0608993324352743,2.69040480596949,-1.65917060064594,0.0989831282749738,0.505608688205989,-5.76698555057053,1.00443882481169,1.00443882481169,"Not Significant","grey80"
"84987",-0.0707931848288167,3.40833010133968,-1.65913996249368,0.0989893101748723,0.505608688205989,-5.76703553201376,1.0044117021977,1.0044117021977,"Not Significant","grey80"
"84222",-0.0857831205518223,0.557146236172971,-1.65892567104669,0.0990325567335504,0.505608688205989,-5.76738509067105,1.00422200858065,1.00422200858065,"Not Significant","grey80"
"102723354",-0.0938382334476624,0.949128011278546,-1.65886355972848,0.0990450943792269,0.505608688205989,-5.76748640036152,1.0041670298356,1.0041670298356,"Not Significant","grey80"
"7329",-0.0423243721611677,3.22054528326006,-1.6588621416059,0.0990453806530664,0.505608688205989,-5.76748871341658,1.00416577457939,1.00416577457939,"Not Significant","grey80"
"390",0.0607158472588304,3.08070519280635,1.65883503878517,0.0990508519785302,0.505608688205989,-5.76753291960628,1.00414178455771,1.00414178455771,"Not Significant","grey80"
"79709",-0.0622014571371819,3.11045539320838,-1.65863671072335,0.0990908964511192,0.505713350454538,-5.76785638231815,1.00396624261513,1.00396624261513,"Not Significant","grey80"
"105369464",0.0717423859623883,0.748407232024292,1.6584457560309,0.0991294644839008,0.505721506736357,-5.76816778411211,1.0037972399562,1.0037972399562,"Not Significant","grey80"
"55133",0.047789040012768,2.49376694185977,1.65840610277147,0.0991374749580895,0.505721506736357,-5.76823244482234,1.00376214681612,1.00376214681612,"Not Significant","grey80"
"152048",0.0607634181074948,1.96967231764421,1.65805525313542,0.0992083738618316,0.505721506736357,-5.76880449373513,1.00345166888918,1.00345166888918,"Not Significant","grey80"
"101927688",-0.0644118418981474,2.11371544606113,-1.65804811804871,0.099209816127586,0.505721506736357,-5.76881612604752,1.00344535527389,1.00344535527389,"Not Significant","grey80"
"85014",-0.0795278174086135,2.96215532091158,-1.65786309351256,0.0992472223475091,0.505721506736357,-5.76911775414143,1.00328163908404,1.00328163908404,"Not Significant","grey80"
