"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"84888",0.0628143250053279,3.2734236861511,1.66835176263548,0.0971418444093398,0.391902546250419,-5.54871225590745,1.01259365493757,1.01259365493757,"Not Significant","grey80"
"125113",0.0975429213077987,1.081403567539,1.66830277975471,0.0971515796195677,0.391902546250419,-5.54879232700814,1.01255013366961,1.01255013366961,"Not Significant","grey80"
"116254",0.0468822991165593,3.30734792824277,1.66823279908606,0.0971654894468571,0.391902546250419,-5.54890671873005,1.01248795733816,1.01248795733816,"Not Significant","grey80"
"105378916",0.104338611229833,0.484106407794804,1.66820066289538,0.0971718775900826,0.391902546250419,-5.54895924760004,1.0124594055944,1.0124594055944,"Not Significant","grey80"
"51280",0.0578131183354403,2.70257105853347,1.66808269188053,0.097195331181884,0.391902546250419,-5.54915207115826,1.01235459608857,1.01235459608857,"Not Significant","grey80"
"127943",0.0773224750724415,1.00918337534301,1.66805616088052,0.0972006063882313,0.391902546250419,-5.5491954342477,1.0123310257091,1.0123310257091,"Not Significant","grey80"
"102724608",0.0849217267311195,0.398715192099632,1.66804758191324,0.0972023122091129,0.391902546250419,-5.54920945583532,1.01232340413015,1.01232340413015,"Not Significant","grey80"
"55327",0.0648802557704919,2.74094231358437,1.66804241196718,0.0972033402002102,0.391902546250419,-5.54921790563593,1.01231881114785,1.01231881114785,"Not Significant","grey80"
"51364",0.0782024816078616,0.981991048722121,1.66787715214447,0.0972362050536503,0.3919113518875,-5.54948799425652,1.01217199919542,1.01217199919542,"Not Significant","grey80"
"2890",0.0983080865798184,1.31749779877634,1.66779914421238,0.0972517214317299,0.3919113518875,-5.54961547575454,1.01210270258133,1.01210270258133,"Not Significant","grey80"
"10146",0.0555512248647452,3.4388888322926,1.6676920145092,0.0972730336093377,0.3919113518875,-5.5497905390083,1.01200753977116,1.01200753977116,"Not Significant","grey80"
"51013",0.0434340315366864,2.62100554363193,1.6676726670058,0.0972768829661794,0.3919113518875,-5.54982215407548,1.01199035390477,1.01199035390477,"Not Significant","grey80"
"60492",0.0458354530866336,2.9841961710757,1.66760342393255,0.0972906604946477,0.3919113518875,-5.54993529881402,1.01192884822411,1.01192884822411,"Not Significant","grey80"
"10274",0.0532336745248864,3.04760631490895,1.66757465759026,0.0972963846938635,0.3919113518875,-5.54998230232903,1.01190329679923,1.01190329679923,"Not Significant","grey80"
"25996",0.0404129030473408,3.56796763609454,1.66742929946551,0.0973253135852108,0.391921393379889,-5.55021980204163,1.01177418829711,1.01177418829711,"Not Significant","grey80"
"339453",0.115200354076661,1.25731456118362,1.66740994902643,0.0973291651952297,0.391921393379889,-5.55025141709134,1.01175700160829,1.01175700160829,"Not Significant","grey80"
"57480",0.071540616523302,2.67319898809799,1.66726943745243,0.0973571370232935,0.391933200219984,-5.55048097645962,1.01163220586742,1.01163220586742,"Not Significant","grey80"
"100616345",0.0619576757193336,2.1924395588025,1.66712365948717,0.0973861640923001,0.391933200219984,-5.55071911997851,1.01150274009462,1.01150274009462,"Not Significant","grey80"
"28763",0.0792677144074445,0.144329062875058,1.66708705433961,0.0973934539455924,0.391933200219984,-5.55077891514552,1.01147023214443,1.01147023214443,"Not Significant","grey80"
